文件名,文本内容,场景,皮肤,类型,语言
"unicorn_anniversary_01","碧蓝航线五周年快乐","五周年登录","基础","anniversary","ZH"
"unicorn_profile_02","皇家海军支援空母独角兽原本是为了支援光辉姐姐而诞生的后来也和许多其他姐姐们一起行动过大家对我都很好呢独角兽在很多地方都努力过能派上用场就好了呢嘻嘻我会更加努力的哥哥","自我介绍","基础","profile","ZH"
"unicorn_unlock_03","啊我是皇家海军独角兽指挥官能叫你哥哥吗","获取台词","基础","unlock","ZH"
"unicorn_login_04","欢迎回来哥哥今天也要出击吗","登录台词","基础","login","ZH"
"unicorn_detail_05","哥哥想要更多了解独角兽吗","查看详情","基础","detail","ZH"
"unicorn_main_1_06","毁灭模式什么的是不存在的喔","主界面1","基础","main_1","ZH"
"unicorn_main_2_07","优酱的角是不会变形的喔","主界面2","基础","main_2","ZH"
"unicorn_main_3_08","NーTーD对不起独角兽不知道哥哥在说什么","主界面3","基础","main_3","ZH"
"unicorn_main_4_09","独角兽有一天也能变成光辉姐姐那样成熟的大人吗","主界面4","基础","main_4","ZH"
"unicorn_touch_10","嘻嘻好痒的啦哥哥","触摸台词","基础","touch","ZH"
"unicorn_special_touch_11","哥哥的话可以喔","特殊触摸","基础","special_touch","ZH"
"unicorn_head_touch_12","哥哥独角兽是乖孩子吧","摸头台词","基础","head_touch","ZH"
"unicorn_mission_13","任务不要忘记","任务提醒","基础","mission","ZH"
"unicorn_mission_complete_14","奖励不能错过","任务完成","基础","mission_complete","ZH"
"unicorn_mail_15","邮件要去看看吗","邮件提醒","基础","mail","ZH"
"unicorn_home_16","舰队平安回港哥哥辛苦了膝枕也可以的喔","回港台词","基础","home","ZH"
"unicorn_feeling_disappointed_17","哥哥差劲","好感度失望","基础","feeling_disappointed","ZH"
"unicorn_feeling_stranger_18","这孩子叫做优酱独角兽的优酱是我的挚友喔嘻嘻","好感度陌生","基础","feeling_stranger","ZH"
"unicorn_feeling_friendly_19","遇到危险的时候优酱会保护我的有哥哥在就不会有危险嘻嘻哥哥好像独角兽的骑士呢","好感度友好","基础","feeling_friendly","ZH"
"unicorn_feeling_like_20","独角兽一直很努力支援姐姐们也好出击任务也好运输任务也好独角兽是乖孩子吧有派上用场吧哥哥","好感度喜欢","基础","feeling_like","ZH"
"unicorn_feeling_love_21","在哥哥面前任性也可以吗撒娇也可以吗独角兽其实不是那么听话的孩子这样也可以吗","好感度爱","基础","feeling_love","ZH"
"unicorn_propose_22","这么重要的独角兽真的可以吗独角兽会加油的因为最喜欢哥哥了","誓约台词","基础","propose","ZH"
"unicorn_expedition_23","委托组的姐姐们回来了一起去迎接她们吗哥哥","委托完成","基础","expedition","ZH"
"unicorn_upgrade_24","独角兽成长了吗哥哥","强化成功","基础","upgrade","ZH"
"unicorn_battle_25","后方支援就交给我吧独角兽会加油的","旗舰开战","基础","battle","ZH"
"unicorn_victory_26","独角兽这次有帮上哥哥的忙吗","胜利台词","基础","victory","ZH"
"unicorn_lose_27","外面好可怕独角兽可以回家吗哥哥","失败台词","基础","lose","ZH"
"unicorn_skill_28","独角兽会努力的","技能台词","基础","skill","ZH"
"unicorn_hp_warning_29","哥哥好痛","血量告急","基础","hp_warning","ZH"
"unicorn_couple_1_30","光辉姐姐的援护就交给我吧","彩蛋台词1","基础","couple_1","ZH"
"unicorn_couple_2_31","不要欺负我的朋友","彩蛋台词2","基础","couple_2","ZH"
"unicorn_couple_3_32","独角兽喜欢唱歌不过在大家面前还是","彩蛋台词3","基础","couple_3","ZH"
"unicorn_singer_desc_33","独角兽变成歌姬了诶嘿嘿独角兽的歌能传达到哥哥的心里就好了","歌姬获取","小小的星之歌姬","singer_desc","ZH"
"unicorn_singer_main1_34","独角兽穿上这么华丽的衣服真的合适吗哥哥","歌姬主界面1","小小的星之歌姬","singer_main1","ZH"
"unicorn_singer_main2_35","优酱也成长了呢嘻嘻","歌姬主界面2","小小的星之歌姬","singer_main2","ZH"
"unicorn_singer_main3_36","听我唱歌吧嘻嘻独角兽是不是有点歌姬的样子了呢","歌姬主界面3","小小的星之歌姬","singer_main3","ZH"
"unicorn_singer_main4_37","光辉姐姐独角兽有没有变得成熟一点了呢","歌姬主界面4","小小的星之歌姬","singer_main4","ZH"
"unicorn_singer_touch_38","嘻嘻想听独角兽的歌吗哥哥","歌姬触摸","小小的星之歌姬","singer_touch","ZH"
"unicorn_spring_desc_39","这个送给哥哥希望哥哥会喜欢欸穿上这件衣服就是最好的礼物哥哥","春之礼获取","春之礼","spring_desc","ZH"
"unicorn_spring_detail_40","哥哥请不要一直盯着独角兽看呜","春之礼详情","春之礼","spring_detail","ZH"
"unicorn_spring_main1_41","这个叫做春联字是东煌的姐姐们教独角兽写的呢欸嘿嘿","春之礼主界面1","春之礼","spring_main1","ZH"
"unicorn_spring_main2_42","爆竹好像是东煌的特产呢啊这个是装饰不会爆炸的","春之礼主界面2","春之礼","spring_main2","ZH"
"unicorn_spring_main3_43","哥哥独角兽有没有稍微成熟一点呢","春之礼主界面3","春之礼","spring_main3","ZH"
"unicorn_date_desc_44","啊哥哥你来了嘻嘻独角兽也刚到没多久哦那我们出发吧游乐园有点期待","约会日获取","憧憬的约会日","date_desc","ZH"
"unicorn_date_login_45","哥哥独角兽有好多想和哥哥一起玩的项目","约会日登录","憧憬的约会日","date_login","ZH"
"unicorn_date_main1_46","哥哥坐过山车的时候能握着你的手吗","约会日主界面1","憧憬的约会日","date_main1","ZH"
"unicorn_date_main2_47","摩天轮推荐情侣共乘诶啊哥哥没没什么","约会日主界面2","憧憬的约会日","date_main2","ZH"
"unicorn_date_main3_48","旋转木马好漂亮诶可以和哥哥一起坐吗","约会日主界面3","憧憬的约会日","date_main3","ZH"
"unicorn_date_touch_49","像这样在游乐园和哥哥手牵手总觉得就像恋人一样呢嘻嘻","约会日触摸","憧憬的约会日","date_touch","ZH"
"unicorn_date_special_touch_50","哥哥这里人有点多","约会日特殊触摸","憧憬的约会日","date_special_touch","ZH"
"unicorn_date_love_51","本来约会之前想了很多话想对哥哥说但现在觉得不用说也可以了因为独角兽已经知道了哥哥的心意哥哥也能感受的吧和哥哥一样的独角兽的心意","约会日爱意","憧憬的约会日","date_love","ZH"
"unicorn_wedding_unlock_52","这是为了重要的仪式而换上的重要的服装嗯独角兽和优酱都准备好了哥哥独角兽这样可以了吗","誓约获取","梦想的纯白誓约","wedding_unlock","ZH"
"unicorn_wedding_login_53","哥哥嘻嘻独角兽一直在这里在等着哥哥回来哦","誓约登录","梦想的纯白誓约","wedding_login","ZH"
"unicorn_wedding_touch_54","还想和哥哥多牵一会手可以吗","誓约触摸","梦想的纯白誓约","wedding_touch","ZH"
"unicorn_wedding_main4_55","即便独角兽不会成为光辉姐姐那样成熟的大人哥哥也会一直在独角兽身边吧","誓约深情","梦想的纯白誓约","wedding_main4","ZH"
"unicorn_idol_desc_56","独角兽变成偶像了虽然不知道能不能做好但是独角兽会加油的","天使偶像","天使的My Night","idol_desc","ZH"
"unicorn_idol_touch_57","只要还有哥哥这个听众独角兽就会一直一直努力唱下去","偶像决心","天使的My Night","idol_touch","ZH"
"unicorn_summer_desc_58","啊哥哥独角兽在看书哦嗯一边吃冰棒哥哥也要来一口吗","清凉时光","清凉阅读时光","summer_desc","ZH"
"unicorn_summer_main1_59","嗯冰棒好冰不过还是很好吃","夏日冰棒","清凉阅读时光","summer_main1","ZH"
"unicorn_nurse_desc_60","独角兽现在是负责护理的护士哦那个哥哥能请你当一下独角兽的病人吗","护士装扮","天使的护理时间","nurse_desc","ZH"
"unicorn_nurse_touch_61","今天的独角兽是哥哥的专属护士呢诶嘿嘿","专属护士","天使的护理时间","nurse_touch","ZH"
"unicorn_cheerleader_desc_62","呼哈嗯哥哥加加油哥哥都那么努力了独角兽也要努力给哥哥加油","应援啦啦队","Champion of Unicorn","cheerleader_desc","ZH"
"unicorn_cheerleader_home_63","哥哥辛苦了独角兽优酱光辉姐姐和大家一直在这里等着哥哥哦欸嘿嘿","大家等你","Champion of Unicorn","cheerleader_home","ZH"
